"Ürün","Kategori","Alt Kategori","Saklama Koşulu","Raf Ömrü","Stok","Satış Fiyatı","Rezerv","Statü"
"Milka Oreo Choco Çikolata (100 g)","Atıştırmalık","Çikolata","Oda Koşulları","275","12","₺13,15","","Aktif"
"Doritos Taco Baharat Çeşnili Mısır Cipsi (121 g)","Atıştırmalık","Cips","Oda Koşulları","120","25","₺6,39","","Aktif"
"Peyman Bahçeden Ortaya Karışık Gurme (155 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","365","0","₺24,25","","Aktif"
"Lysol Dezenfektan Sprey (400 ml)","Ev Bakım","Temizlik","Oda Koşulları","1095","13","₺34,90","","Aktif"
"Milfetti Kıymalı Kol Böreği (400 g)","Fırından","Donuk Fırın","-18","365","0","₺22,45","","Aktif"
"Milfetti Peynirli Kol Böreği (400 g)","Fırından","Donuk Fırın","-18","365","0","₺16,45","","Aktif"
"Milfetti Peynirli Tepsi Böreği (400 g)","Fırından","Donuk Fırın","-18","365","0","₺18,95","","Aktif"
"Milfetti Kıymalı Tepsi Böreği (400 g)","Fırından","Donuk Fırın","-18","365","0","₺24,95","","Aktif"
"Feast Soğan Halkası (450 g)","Yiyecek","Dondurulmuş","-18","730","14","₺18,15","","Aktif"
"Godiva Çilekli Sütlü Kare Çikolata (60 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","4","₺11,00","","Aktif"
"Faladdin Türk Kahvesi Klasik (100 g)","Su & İçecek","Kahve","Oda Koşulları","365","12","₺7,95","","Aktif"
"Alpro Yulaf İçeceği (1 L)","Süt & Kahvaltı","Süt","Oda Koşulları","240","0","₺45,60","","Aktif"
"Alpro Hindistan Cevizi İçeceği Şekersiz (1 L)","Süt & Kahvaltı","Süt","Oda Koşulları","240","0","₺45,60","","Aktif"
"Doğadan Gizli Bahçe Dökme Siyah Çay (500 g)","Su & İçecek","Çay","Oda Koşulları","1095","13","₺22,95","","Aktif"
"Doğadan Gizli Bahçe Demlik Poşet Siyah Çay (48'li)","Su & İçecek","Çay","Oda Koşulları","730","10","₺18,95","","Aktif"
"Doğadan Yeşil Çay Yumuşak İçimli (20'li)","Su & İçecek","Çay","Oda Koşulları","1095","15","₺9,25","","Aktif"
"Doğadan Yeşil Çay Açai Ananaslı (20'li)","Su & İçecek","Çay","Oda Koşulları","1095","1","₺9,25","1","Aktif"
"Doğadan Form Kayısılı Bitki Çayı (20'li)","Su & İçecek","Çay","Oda Koşulları","730","14","₺9,25","","Aktif"
"Doğadan Gizli Bahçe Bardak Poşet Siyah Çay (25'li)","Su & İçecek","Çay","Oda Koşulları","730","12","₺12,25","1","Aktif"
"Tursilmatik Toz Çamaşır Deterjanı Leylak Bahçesi 40 Yıkama (6 kg)","Ev Bakım","Çamaşır","Oda Koşulları","","4","₺49,99","","Aktif"
"Bref Power Aktiv Katı Tuvalet Bloğu Lavanta (2'li)","Ev Bakım","Temizlik","Oda Koşulları","","0","₺15,95","","İnaktif"
"Züber Lokma Hindistan Cevizi Kaplı Kakaolu Fındık Ezmeli Meyve Topu (96 g)","Fit & Form","Bar","Oda Koşulları","365","1","₺15,75","","Aktif"
"Milka Oreo Tablet Çikolata (300 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","0","₺36,25","","Aktif"
"Züber Fırından Kakaolu Hindistan Cevizi Cipsi (40 g)","Fit & Form","Glutensiz","Oda Koşulları","270","0","₺9,95","","Aktif"
"Züber Lokma Fındık Kaplı Yer Fıstığı Ezmeli Meyve Topu (96 g)","Fit & Form","Bar","Oda Koşulları","365","11","₺15,75","","Aktif"
"Milka Choco & Biscuits Tablet Çikolata (300 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","0","₺19,90","","İnaktif"
"Züber Lokma Antep Fıstığı Kaplı Kakaolu Fındık Ezmeli Meyve Topu (96 g)","Fit & Form","Bar","Oda Koşulları","365","1","₺15,75","","Aktif"
"Züber Fırından Vanilyalı Hindistan Cevizi Cipsi (40 g)","Fit & Form","Glutensiz","Oda Koşulları","270","0","₺9,95","","Aktif"
"Feast Tatlı Küp Soğan (450 g)","Yiyecek","Dondurulmuş","-18","730","21","₺10,50","","Aktif"
"Feast Parmak Patates (1 kg)","Yiyecek","Dondurulmuş","-18","730","15","₺20,80","","Aktif"
"Altınkılıç Kefirli Yoğurt Yaban Mersinli (150 g)","Süt & Kahvaltı","Yoğurt","+4","30","9","₺5,20","","Aktif"
"Altınkılıç Kefirli Probiyotik Yoğurt Kayısı ve Keten Tohumlu (150 g)","Süt & Kahvaltı","Yoğurt","+4","30","4","₺5,20","","Aktif"
"Fellas Optimum Protein Bar Fındık ve Kakao (32 g)","Fit & Form","Bar","Oda Koşulları","365","0","₺6,95","","Aktif"
"Fellas Nuts Bar Karışık Kuruyemiş ve Kakao (40 g)","Fit & Form","Bar","Oda Koşulları","365","0","₺5,95","","Aktif"
"Tadım Naturel Çiğ Karışık Kuruyemiş (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","6","₺27,50","","Aktif"
"Tadım Çiğ Badem İçi (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","13","₺32,50","","Aktif"
"Godiva Kavrulmuş Badem Bitter Kare Çikolata (60 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","0","₺11,00","","Aktif"
"Fellas Optimum Protein Bar Duble Kakao (32 g)","Fit & Form","Bar","Oda Koşulları","365","17","₺6,95","","Aktif"
"Tadım Kavrulmuş Badem İçi (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","9","₺32,50","","Aktif"
"Tadım Tuzsuz Kavrulmuş Kabak Çekirdeği (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","7","₺18,50","","Aktif"
"Fellas Nuts Bar Antep Fıstığı ve Kakao (40 g)","Fit & Form","Bar","Oda Koşulları","365","6","₺5,95","","Aktif"
"Fellas Çikolatalı ve Hindistan Cevizli Protein Bar (45 g)","Fit & Form","Bar","Değerli Ürün","365","13","₺9,95","","Aktif"
"Tadım Fındıklı Bar (30 g)","Fit & Form","Bar","Oda Koşulları","180","23","₺3,30","","Aktif"
"Tipi Dil Peyniri (250 g)","Süt & Kahvaltı","Peynir","+4","120","0","₺30,80","","Aktif"
"Calve Parçacıklı Yer Fıstığı Ezmesi (350 g)","Atıştırmalık","Sürülebilir","Oda Koşulları","360","5","₺39,90","","Aktif"
"Burn Enerji İçeceği Gold Spark (250 ml)","Su & İçecek","Enerji İçeceği","Oda Koşulları","720","18","₺7,75","","Aktif"
"Calve Köri Sos (260 g)","Temel Gıda","Salça & Sos","Oda Koşulları","270","Sayımda","₺14,20","","Aktif"
"File Çanta (1 Adet)","Fırından","Unlu Mamüller","Oda Koşulları","","0","₺19,90","","İnaktif"
"Aslı Börek Dondurulmuş Simit (4'lü)","Fırından","Donuk Fırın","-18","270","0","₺12,95","","Aktif"
"Maratem M105 Alkol Bazlı El Dezenfektanı (250 ml)","Kişisel Bakım","Genel Sağlık","Oda Koşulları","","20","₺16,25","","Aktif"
"Colgate Diş Fırçası Saklama Kabı","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","0","₺4,95","","Aktif"
"Ülker Çiziviç Peynirli Sandviç Kraker (82 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","365","8","₺2,50","","Aktif"
"Cook Antibakteriyel Çöp Torbası Banyo Boy Okyanus Kokulu (30'lu - 32 x 42 cm)","Ev Bakım","Mutfak","Oda Koşulları","","41","₺11,45","","Aktif"
"Uno Büyük Tost Ekmeği (550 g)","Fırından","Unlu Mamüller","Oda Koşulları","19","11","₺9,95","","Aktif"
"Omo Antibakteriyel Toz Çamaşır Deterjanı Domestos Etkili (4,5 kg)","Ev Bakım","Çamaşır","Oda Koşulları","","0","₺43,99","","Aktif"
"Danino Ice Çilekli Dondurma (47 ml)","Dondurma","Çubuk","-18","730","44","₺1,50","","Aktif"
"Danone Kids Kar Tanesi Yaban Mersini & Vanilya Dondurma (75 ml)","Dondurma","Çubuk","-18","730","40","₺2,00","","Aktif"
"Golden Elma (750 g)","Meyve & Sebze","Meyve","+8-12","7","0","₺6,45","","Aktif"
"Feast Churros Patates (1 kg)","Yiyecek","Dondurulmuş","-18","730","8","₺21,90","","Aktif"
"Feast Patatesli Garnitür (450 g)","Yiyecek","Dondurulmuş","-18","730","0","₺12,90","","Aktif"
"Feast Mozaik Pasta (750 g)","Yiyecek","Dondurulmuş","-18","365","0","₺32,90","","Aktif"
"Feast Organik Ispanak (450 g)","Yiyecek","Dondurulmuş","-18","720","7","₺9,55","","Aktif"
"Feast 4'lü Karışık Pizza (800 g)","Yiyecek","Dondurulmuş","-18","365","0","₺24,25","","Aktif"
"Feast Böğürtlen (350 g)","Yiyecek","Dondurulmuş","-18","720","0","₺57,40","","Aktif"
"Feast Organik Brokoli (450 g)","Yiyecek","Dondurulmuş","-18","720","0","₺16,45","","Aktif"
"Feast Pizza Mundo Meksikalı (460 g)","Yiyecek","Dondurulmuş","-18","360","0","₺23,70","","Aktif"
"Feast Mısır (450 g)","Yiyecek","Dondurulmuş","-18","720","11","₺11,90","","Aktif"
"Feast Bamya (450 g)","Yiyecek","Dondurulmuş","-18","720","0","₺24,10","","Aktif"
"Feast Organik Bezelye (450 g)","Yiyecek","Dondurulmuş","-18","720","25","₺18,35","","Aktif"
"Feast Frambuaz (350 g)","Yiyecek","Dondurulmuş","-18","720","0","₺64,65","","Aktif"
"Gliss Serum Deep Repair Şampuan (525 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺22,90","","Aktif"
"Nar (700 g)","Meyve & Sebze","Meyve","+8-12","7","0","₺10,50","","Aktif"
"Golf Bravo Belçika Çikolatalı Brownie Extreme (90 ml)","Dondurma","Çubuk","-18","730","4","₺7,50","","Aktif"
"Sütaş Taze Kaşar Peyniri (500 g)","Süt & Kahvaltı","Peynir","+4","120","16","₺33,95","","Aktif"
"UNO Sade Pastaban 2 Katlı (250 g)","Fırından","Unlu Mamüller","Oda Koşulları","120","0","₺13,95","","İnaktif"
"Uno Grissuno Denge Tam Buğdaylı ve Çiya Tohumlu (150 g)","Fırından","Unlu Mamüller","Oda Koşulları","180","3","₺12,45","","Aktif"
"Pronto Ahşap Yüzey Temizleyici (750 ml)","Ev Bakım","Temizlik","Oda Koşulları","","0","₺19,95","","Aktif"
"Hayat Demleme Soğuk Çay Elma, Bergamot, Yeşil Çay (250 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","360","0","₺5,35","","İnaktif"
"Bee Chef French Press (500 ml)","Ev & Yaşam","Mutfak Ürünleri","Oda Koşulları","","0","₺49,90","","Aktif"
"Başyazıcı Yağsız Çemensiz Dana Pastırma (50 g)","Süt & Kahvaltı","Şarküteri","+4","60","0","₺17,95","","Aktif"
"Başyazıcı Çemensiz Dana Bonfile Pastırma (50 g)","Süt & Kahvaltı","Şarküteri","+4","60","5","₺19,95","","Aktif"
"Yardım Maması (ESKİ-2020) (10 Kap)","Evcil Hayvan","Köpek","Oda Koşulları","730","0","₺5,45","","İnaktif"
"Jacobs Kapsül Lungo Yoğunluk 8 (10'lu)","Su & İçecek","Kahve","Oda Koşulları","365","5","₺42,95","","Aktif"
"Jacobs Kapsül Espresso Yoğunluk 7 (10'lu)","Su & İçecek","Kahve","Oda Koşulları","365","5","₺42,95","","Aktif"
"Detox Matara (600 ml)","Ev & Yaşam","Mutfak Ürünleri","Oda Koşulları","","0","₺34,90","","Aktif"
"Sarelle Kakaolu Şeker İlavesiz Fındık Ezmesi (350 g)","Atıştırmalık","Sürülebilir","Oda Koşulları","365","6","₺35,25","","Aktif"
"Sarelle Kakaolu Fındık Ezmesi (50 g)","Atıştırmalık","Sürülebilir","Oda Koşulları","365","12","₺5,50","","Aktif"
"Omo Sıvı Pouch Active 18 Yıkama (1170 ml)","Ev Bakım","Çamaşır","Oda Koşulları","720","0","₺11,99","","İnaktif"
"Omo Sıvı Pouch Color 18 Yıkama (1170 ml)","Ev Bakım","Çamaşır","Oda Koşulları","720","0","₺11,99","","İnaktif"
"Tadelle Fındık Dolgulu Bitter Çikolata (30 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","10","₺3,95","","Aktif"
"Solo Tüm Yüzeyler Islak Temizlik Mendili (40 Yaprak)","Ev Bakım","Temizlik","Oda Koşulları","","24","₺15,95","","Aktif"
"Solo Banyo & Mutfak Islak Temizlik Mendili (40 Yaprak)","Ev Bakım","Temizlik","Oda Koşulları","","25","₺15,95","","Aktif"
"Mandalina (1 kg)","Meyve & Sebze","Meyve","+8-12","7","56","₺8,95","","Aktif"
"Godiva Chocolate Domes Duble Çikolata (30 g)","Atıştırmalık","Çikolata","Oda Koşulları","270","33","₺5,70","","Aktif"
"Magnum Bites Badem (9'lu)","Dondurma","Çoklu","-18","720","5","₺32,50","","Aktif"
"Barilla Fesleğenli Pesto Genovese Makarna Sosu (190 g)","Temel Gıda","Salça & Sos","Oda Koşulları","540","Sayımda","₺24,95","","Aktif"
"Barilla Napoletana Makarna Sosu (400 g)","Temel Gıda","Salça & Sos","Oda Koşulları","630","Sayımda","₺24,95","","Aktif"
"La Lorraine Dondurulmuş Mini Esmer Baget (10'lu)","Fırından","Donuk Fırın","-18","360","0","₺9,90","","Aktif"
"Sütaş Süzme Peynir (500 g)","Süt & Kahvaltı","Peynir","+4","90","29","₺20,55","","Aktif"
"Eti Ahenk Bol Sütlü Çikolata (60 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","5","₺5,75","","Aktif"
"Eti Çifte Kavrulmuş Fındıklı Sütlü Çikolata (60 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","9","₺6,05","","Aktif"
"Eti Bütün Antep Fıstıklı Çikolata (60 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","10","₺7,25","","Aktif"
"Eti Gong Ballı Hardallı Mısır ve Pirinç Patlağı (68 g)","Atıştırmalık","Cips","Oda Koşulları","270","11","₺3,85","","Aktif"
"La Lorraine Sade Baget (290 g)","Fırından","Taze Fırın","-18","360","0","₺5,45","2","Aktif"
"La Lorraine Dondurulmuş Mini Sade Baget (10'lu)","Fırından","Donuk Fırın","-18","360","0","₺9,99","","Aktif"
"Carte d'Or Dondurma Kaşığı (1 Adet)","Dondurma","Kutu","Oda Koşulları","","0","₺19,90","","İnaktif"
"Eti Lifalif Kuru Meyveli ve Fındıklı Müsli (350 g)","Fit & Form","Tahıllı Gevrek","Oda Koşulları","270","4","₺17,25","","Aktif"
"Kırkağaç Kavun (3 - 3,5 kg)","Meyve & Sebze","Meyve","Oda Koşulları","15","0","₺17,95","","Aktif"
"Gimdog Köpek Ödül Maması Tavuklu (55 g)","Evcil Hayvan","Köpek","Oda Koşulları","360","0","₺24,90","","Aktif"
"Ülker Saklıköy Çikolatalı Kremalı Bisküvi (87 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","270","0","₺2,75","","Aktif"
"Altınbaşak Humuslu Kraker (45 g)","Fit & Form","Kraker & Bisküvi","Oda Koşulları","180","0","₺2,25","","İnaktif"
"Persil Toz Çamaşır Deterjanı Gülün Büyüsü 26 Yıkama (4 kg)","Ev Bakım","Çamaşır","Oda Koşulları","","5","₺42,99","","Aktif"
"Pernigotti IL Gelato Antep Fıstıklı Bar Dondurma (40 ml)","Dondurma","Bar","-18","540","17","₺5,00","","Aktif"
"Pernigotti IL Gelato Sütlü Çikolatalı Dondurma (175 ml)","Dondurma","Kutu","-18","540","7","₺17,00","","Aktif"
"Pernigotti IL Gelato Hindistan Cevizli & Çikolata Parçalı Bar Dondurma (40 ml)","Dondurma","Bar","-18","540","0","₺5,00","","Aktif"
"Pernigotti IL Gelato Karamelli Bar Dondurma (40 ml)","Dondurma","Bar","-18","540","5","₺5,00","","Aktif"
"Pernigotti IL Gelato Kakaolu Kornet Çilek & Sütlü Çikolatalı Dondurma (120 ml)","Dondurma","Külah","-18","365","0","₺6,00","","Aktif"
"Pernigotti IL Gelato Klasik Dondurma (100 ml)","Dondurma","Çubuk","-18","540","23","₺8,00","1","Aktif"
"Pernigotti IL Gelato Vanilyalı Dondurma (175 ml)","Dondurma","Kutu","-18","540","11","₺17,00","","Aktif"
"Tadelle Beyaz Çikolata Kaplı Bar Dondurma (40 ml)","Dondurma","Bar","-18","540","0","₺3,50","","Aktif"
"Pernigotti IL Gelato Antep Fıstıklı Dondurma (175 ml)","Dondurma","Kutu","-18","540","12","₺17,00","","Aktif"
"Pernigotti IL Gelato Bar Dondurma Fıstıklı & Karamelli & Hindistan Cevizli (6'lı)","Dondurma","Çoklu","-18","540","5","₺25,00","","Aktif"
"Pernigotti IL Gelato Mini Klasik & Fıstıklı & Sütlü Çikolatalı (6'lı)","Dondurma","Çoklu","-18","540","9","₺28,00","","Aktif"
"Pernigotti IL Gelato Fındıklı Kornet (120 ml)","Dondurma","Külah","-18","365","25","₺5,00","","Aktif"
"Pernigotti IL Gelato Antep Fıstıklı Dondurma (100 ml)","Dondurma","Çubuk","-18","540","11","₺8,00","1","Aktif"
"Tadelle Bitter Çikolata Kaplı Bar Dondurma (40 ml)","Dondurma","Bar","-18","540","0","₺3,50","","İnaktif"
"Tadelle Sütlü Çikolata Kaplı Bar Dondurma (40 ml)","Dondurma","Bar","-18","540","0","₺3,50","4","İnaktif"
"Pernigotti IL Gelato Kakaolu Kornet Vanilyalı & Sütlü Çikolatalı Dondurma (120 ml)","Dondurma","Külah","-18","365","0","₺6,00","","Aktif"
"Pernigotti IL Gelato Karamelli Kornet Dondurma (120 ml)","Dondurma","Külah","-18","365","22","₺6,00","","Aktif"
"Pernigotti IL Gelato Sütlü Çikolatalı Dondurma (100 ml)","Dondurma","Çubuk","-18","540","9","₺8,00","","Aktif"
"Herby No Stress Tea Rahatlama Çayı (20'li)","Su & İçecek","Çay","Oda Koşulları","730","10","₺19,90","","Aktif"
"Eti Susamlı Çubuk Kraker (120 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","360","17","₺4,40","","Aktif"
"Eti Topkek Meyveli (40 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","180","37","₺1,45","","Aktif"
"Eti Gong Pops Sade (80 g)","Atıştırmalık","Cips","Oda Koşulları","270","12","₺5,90","","Aktif"
"Eti Gong Tatlı Acılı Thai Sosu Aromalı Mısır ve Pirinç Patlağı (68 g)","Atıştırmalık","Cips","Oda Koşulları","270","0","₺3,85","","Aktif"
"Eti Hoşbeş Fındıklı (142 g)","Atıştırmalık","Gofret","Oda Koşulları","365","11","₺6,85","","Aktif"
"Knorr Veggie's Havuç Kıtırı (25 g)","Atıştırmalık","Cips","Oda Koşulları","720","0","₺9,75","","Aktif"
"Eti Balık Kraker (160 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","365","0","₺3,75","","Aktif"
"Eti Lifalif Kuru İncirli & Fındıklı Yulaf Topları (38 g)","Fit & Form","Tahıllı Gevrek","Oda Koşulları","240","8","₺6,05","","Aktif"
"Eti Crax Peynirli Çubuk Kraker (175 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","365","6","₺4,45","","Aktif"
"Sırma Fonksiyonel İçecek Kolajen (400 ml)","Su & İçecek","Meyve Suyu","Oda Koşulları","365","0","₺7,25","","Aktif"
"Eti Popkek Mini Muzlu (180 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","180","10","₺7,95","","Aktif"
"Eti Crax Sade Çubuk Kraker (85 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","180","24","₺1,65","","Aktif"
"Tat %100 Domates Suyu Cam Şişe (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","365","0","₺10,25","","Aktif"
"Eti Browni Gold Çikolatalı Mini Kek (180 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","180","13","₺7,95","","Aktif"
"Gold Kivi (300 g)","Meyve & Sebze","Meyve","+8-12","6","0","₺6,75","","Aktif"
"Eti Popkek Mini Kakaolu (180 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","180","5","₺7,95","","Aktif"
"Eti Popkek Çikolatalı (60 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","180","25","₺1,75","","Aktif"
"Eti Ahenk Gurme Çikolata Kaplı Fındık Kremalı (50 g)","Atıştırmalık","Gofret","Oda Koşulları","210","0","₺2,75","","Aktif"
"Eti Browni Gold Vişneli Çikolatalı (45 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","180","30","₺1,65","","Aktif"
"Sarelle Kakaolu Fındık Ezmesi (700 g)","Atıştırmalık","Sürülebilir","Oda Koşulları","365","6","₺41,25","","Aktif"
"Sarelle Duo Sütlü Çikolata Kaplamalı Fındık Ezme Dolgulu Gofret (33 g)","Atıştırmalık","Gofret","Oda Koşulları","365","0","₺3,25","","Aktif"
"Happy Life Orta Boy Organik Yumurta (15'li)","Süt & Kahvaltı","Yumurta","Oda Koşulları","28","29","₺33,50","","Aktif"
"Starbucks Chilled Classics Skinny Latte (220 ml)","Su & İçecek","Soğuk Çay & Kahve","Oda Koşulları","150","0","₺23,45","","İnaktif"
"Şahin Altın Kesim Pastırma (35 g)","Süt & Kahvaltı","Şarküteri","+4","180","0","₺15,45","","İnaktif"
"Yumoş Uzman Çamaşır Yumuşatıcı Renk Koruma 50 Yıkama (1200 ml)","Ev Bakım","Çamaşır","Oda Koşulları","540","0","₺32,49","","Aktif"
"Küçük Boy Kulplu Torba 40x31","","","Oda Koşulları","","40500","","","İnaktif"
"Orta Boy Plastik Kulplu Torba 50x37","","","","","30000","","","İnaktif"
"Eti Petit Beurre Klasik (400 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","13","₺7,95","","Aktif"
"Eti Puf Kakao Granül Kaplamalı Marshmallow Bisküvi (18 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","180","108","₺0,70","","Aktif"
"Eti Cin Portakal Jöleli Bisküvi (5 x 25 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","23","₺3,45","","Aktif"
"Eti Crax Patlayan Lezzet Acı Baharatlı (50 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","210","12","₺2,30","","Aktif"
"Eti Crax Patlayan Lezzet Chili Lime (50 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","210","0","₺2,30","","Aktif"
"Eti Puf Hindistan Cevizli Granül Kaplamalı Marshmallow Bisküvi (16 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","180","51","₺0,70","","Aktif"
"Eti Gong Pops Jalapeno Biberli (80 g)","Atıştırmalık","Cips","Oda Koşulları","270","2","₺5,95","","Aktif"
"Eti Hoşbeş Çilek Kremalı (142 g)","Atıştırmalık","Gofret","Oda Koşulları","365","6","₺6,85","","Aktif"
"Eti Crax Baharatlı Çubuk Kraker (175 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","360","8","₺4,45","","Aktif"
"Konix Dezenfektan Jel (50 ml)","Kişisel Bakım","Genel Sağlık","Oda Koşulları","","0","₺3,45","","Aktif"
"Eti Sütlü Çikolatalı Gofret (34 g)","Atıştırmalık","Gofret","Oda Koşulları","270","197","₺1,65","","Aktif"
"Eti Gong Peynirli Acılı Mısır ve Pirinç Patlağı (68 g)","Atıştırmalık","Cips","Oda Koşulları","270","19","₺3,85","","Aktif"
"Eti Lifalif Kuru Meyveli Yulaf Bar (35 g)","Fit & Form","Bar","Oda Koşulları","240","0","₺4,40","","Aktif"
